root,prompt,classname,classidx
n03015254,a photo of a chest of drawers.,chest of drawers,9999
n02933112,a photo of a cabinet.,cabinet,9999
n04239074,a photo of a sliding door.,sliding door,799
n03179701,a photo of a desk.,desk,526
n03201208,a photo of a dining table.,dining table,532
n03982430,a photo of a pool table.,pool table,736
n04447861,a photo of a toilet seat.,toilet seat,861
n03001627,a photo of a chair.,chair,9999
n04256520,a photo of a sofa.,sofa,9999
n03014705,a photo of a chest.,chest,492
n02766320,a photo of a baby bed.,baby bed,9999
n02818832,a photo of a bed.,bed,9999
